iter	Passed	Remaining
0	147	147182
1	149	74792
2	152	50526
3	153	38267
4	154	30812
5	155	25822
6	156	22263
7	158	19636
8	160	17661
9	164	16236
10	165	14882
11	166	13746
12	168	12757
13	169	11936
14	170	11185
15	172	10603
16	173	10047
17	174	9531
18	176	9087
19	176	8667
20	177	8282
21	178	7931
22	179	7610
23	179	7314
24	180	7044
25	181	6792
26	182	6560
27	182	6343
28	183	6142
29	184	5956
30	184	5781
31	185	5617
32	186	5463
33	187	5319
34	188	5187
35	189	5067
36	191	4974
37	192	4862
38	193	4769
39	194	4668
40	195	4574
41	197	4501
42	198	4423
43	199	4339
44	200	4255
45	201	4172
46	202	4098
47	203	4029
48	204	3962
49	204	3893
50	205	3827
51	206	3772
52	208	3719
53	209	3669
54	211	3626
55	211	3570
56	212	3519
57	213	3465
58	214	3417
59	215	3372
60	216	3326
61	216	3280
62	217	3234
63	218	3191
64	218	3148
65	219	3109
66	220	3069
67	221	3031
68	221	2993
69	222	2957
70	223	2924
71	225	2906
72	227	2883
73	229	2866
74	231	2854
75	232	2823
76	233	2793
77	233	2763
78	234	2733
79	236	2722
80	238	2709
81	240	2688
82	240	2659
83	241	2637
84	242	2611
85	243	2587
86	244	2564
87	245	2540
88	245	2515
89	247	2499
90	249	2488
91	251	2477
92	252	2463
93	254	2451
94	256	2441
95	257	2425
96	258	2404
97	259	2386
98	259	2365
99	261	2349
100	261	2329
101	262	2310
102	263	2292
103	263	2273
104	265	2263
105	267	2256
106	268	2244
107	270	2232
108	271	2221
109	273	2212
110	275	2206
111	277	2200
112	278	2183
113	278	2167
114	279	2151
115	280	2140
116	281	2125
117	283	2115
118	284	2104
119	285	2090
120	286	2079
121	287	2067
122	287	2053
123	288	2039
124	289	2026
125	290	2012
126	290	1998
127	291	1984
128	292	1971
129	292	1960
130	293	1948
131	294	1939
132	297	1938
133	299	1937
134	302	1936
135	303	1929
136	304	1917
137	305	1906
138	307	1904
139	309	1900
140	311	1897
141	313	1892
142	315	1891
143	317	1889
144	319	1885
145	320	1874
146	321	1863
147	321	1853
148	322	1844
149	323	1834
150	324	1825
151	325	1816
152	326	1807
153	327	1798
154	328	1788
155	329	1783
156	330	1773
157	331	1765
158	332	1756
159	332	1748
160	333	1738
161	334	1730
162	335	1722
163	336	1713
164	336	1705
165	337	1697
166	338	1688
167	339	1681
168	340	1673
169	341	1665
170	341	1657
171	342	1649
172	343	1641
173	344	1634
174	345	1627
175	346	1620
176	346	1612
177	347	1605
178	348	1597
179	350	1594
180	350	1587
181	351	1580
182	352	1572
183	353	1566
184	353	1559
185	354	1553
186	355	1546
187	356	1540
188	357	1533
189	358	1527
190	359	1521
191	360	1516
192	361	1509
193	361	1503
194	362	1497
195	363	1491
196	364	1485
197	365	1479
198	365	1472
199	366	1467
200	367	1461
201	368	1455
202	369	1449
203	370	1443
204	370	1438
205	371	1432
206	372	1427
207	373	1421
208	374	1416
209	375	1412
210	376	1407
211	377	1401
212	377	1396
213	378	1391
214	379	1385
215	380	1380
216	381	1375
217	381	1369
218	382	1364
219	383	1360
220	384	1354
221	385	1349
222	385	1344
223	386	1339
224	387	1334
225	388	1329
226	388	1324
227	390	1321
228	391	1316
229	392	1312
230	392	1307
231	393	1302
232	394	1297
233	395	1293
234	395	1288
235	396	1283
236	397	1279
237	398	1274
238	398	1269
239	399	1265
240	400	1261
241	401	1256
242	401	1251
243	402	1246
244	403	1242
245	403	1238
246	404	1234
247	405	1230
248	406	1227
249	408	1224
250	408	1220
251	409	1215
252	410	1211
253	411	1207
254	412	1204
255	412	1199
256	414	1197
257	415	1193
258	415	1190
259	416	1185
260	417	1181
261	418	1178
262	419	1174
263	419	1170
264	420	1167
265	422	1166
266	423	1162
267	424	1158
268	425	1156
269	426	1152
270	426	1148
271	427	1144
272	428	1140
273	429	1137
274	430	1135
275	432	1133
276	433	1130
277	433	1126
278	434	1123
279	435	1120
280	436	1116
281	437	1113
282	438	1110
283	438	1106
284	440	1103
285	440	1100
286	441	1097
287	442	1094
288	443	1091
289	444	1088
290	446	1087
291	448	1086
292	449	1085
293	451	1084
294	453	1083
295	454	1081
296	459	1086
297	460	1085
298	463	1085
299	463	1082
300	464	1079
301	467	1080
302	469	1079
303	470	1077
304	472	1075
305	473	1074
306	474	1071
307	475	1068
308	476	1066
309	478	1064
310	479	1062
311	480	1060
312	481	1057
313	483	1055
314	484	1052
315	484	1049
316	486	1047
317	487	1046
318	488	1043
319	489	1040
320	490	1037
321	491	1034
322	491	1031
323	493	1028
324	493	1025
325	496	1025
326	497	1023
327	498	1021
328	499	1018
329	500	1016
330	501	1013
331	502	1011
332	503	1008
333	504	1006
334	505	1003
335	506	1001
336	508	1000
337	509	998
338	512	998
339	515	1000
340	517	999
341	519	999
342	519	995
343	520	993
344	522	991
345	523	988
346	523	985
347	524	983
348	525	980
349	526	977
350	527	975
351	528	972
352	530	972
353	531	969
354	532	967
355	533	964
356	533	961
357	534	959
358	535	956
359	536	953
360	537	952
361	539	951
362	542	951
363	545	952
364	546	951
365	548	949
366	549	947
367	550	945
368	551	942
369	552	939
370	553	937
371	553	935
372	554	932
373	556	931
374	557	928
375	558	926
376	559	925
377	561	923
378	562	921
379	563	920
380	565	918
381	566	917
382	567	915
383	569	913
384	570	910
385	571	908
386	571	905
387	572	903
388	573	900
389	574	898
390	575	896
391	576	894
392	578	892
393	579	890
394	579	888
395	580	885
396	581	883
397	582	881
398	583	879
399	584	876
400	586	875
401	588	874
402	589	873
403	591	872
404	592	869
405	593	867
406	594	866
407	595	863
408	596	862
409	597	859
410	598	857
411	599	855
412	600	853
413	601	851
414	602	849
415	603	846
416	604	845
417	606	844
418	607	841
419	608	839
420	609	837
421	610	836
422	611	833
423	612	832
424	613	830
425	614	828
426	615	826
427	616	823
428	617	822
429	618	820
430	619	818
431	621	817
432	622	815
433	624	813
434	625	812
435	628	812
436	631	813
437	633	813
438	635	812
439	636	810
440	637	808
441	638	806
442	639	804
443	640	802
444	643	802
445	645	801
446	646	799
447	647	797
448	648	795
449	650	794
450	654	796
451	655	794
452	656	792
453	657	790
454	658	788
455	659	786
456	660	784
457	662	783
458	664	782
459	665	780
460	666	778
461	666	776
462	668	774
463	669	773
464	670	771
465	671	769
466	672	767
467	674	766
468	676	765
469	677	764
470	679	763
471	682	763
472	684	762
473	685	760
474	686	758
475	687	757
476	689	755
477	690	753
478	691	752
479	692	750
480	694	749
481	696	748
482	697	746
483	698	745
484	699	743
485	700	741
486	703	740
487	706	740
488	707	739
489	708	737
490	709	735
491	710	733
492	712	733
493	713	731
494	715	730
495	718	729
496	720	729
497	722	728
498	723	726
499	725	725
500	725	723
501	727	721
502	728	719
503	729	718
504	730	716
505	731	714
506	732	712
507	734	711
508	735	709
509	737	708
510	739	707
511	742	707
512	746	708
513	748	707
514	750	706
515	752	705
516	755	705
517	757	705
518	759	704
519	761	703
520	763	702
521	765	701
522	767	700
523	769	698
524	771	697
525	773	696
526	774	695
527	775	693
528	776	691
529	777	689
530	779	688
531	781	687
532	783	686
533	784	684
534	785	682
535	786	680
536	787	679
537	788	677
538	789	675
539	792	674
540	793	672
541	794	671
542	795	669
543	797	668
544	799	667
545	801	666
546	802	664
547	803	662
548	805	661
549	807	660
550	809	659
551	810	658
552	811	656
553	812	654
554	813	652
555	815	651
556	816	649
557	818	648
558	820	647
559	822	646
560	824	644
561	825	643
562	826	641
563	827	640
564	829	638
565	830	636
566	832	635
567	834	634
568	835	632
569	837	631
570	838	630
571	840	628
572	843	628
573	844	626
574	846	625
575	847	623
576	849	622
577	850	621
578	852	619
579	853	617
580	854	615
581	855	614
582	857	613
583	859	611
584	861	610
585	862	609
586	864	608
587	865	606
588	867	605
589	869	604
590	871	603
591	873	602
592	875	600
593	878	600
594	879	598
595	881	597
596	883	596
597	884	594
598	886	593
599	887	591
600	889	590
601	891	589
602	892	587
603	894	586
604	902	589
605	905	588
606	906	586
607	907	585
608	909	583
609	911	582
610	914	582
611	916	581
612	919	580
613	920	578
614	922	577
615	924	576
616	925	574
617	927	573
618	930	572
619	931	570
620	933	569
621	935	568
622	937	567
623	939	566
624	942	565
625	944	564
626	945	562
627	946	560
628	948	559
629	949	557
630	950	555
631	952	554
632	953	552
633	954	551
634	955	549
635	956	547
636	958	546
637	960	545
638	963	544
639	965	542
640	966	541
641	967	539
642	969	538
643	971	537
644	973	535
645	975	534
646	976	532
647	978	531
648	980	530
649	982	529
650	983	527
651	984	525
652	986	524
653	988	523
654	990	521
655	991	520
656	992	518
657	994	516
658	995	515
659	997	513
660	998	512
661	1001	511
662	1003	509
663	1004	508
664	1005	506
665	1008	505
666	1009	504
667	1010	502
668	1012	500
669	1014	499
670	1016	498
671	1017	496
672	1018	495
673	1020	493
674	1021	491
675	1022	490
676	1023	488
677	1025	486
678	1027	485
679	1029	484
680	1030	482
681	1032	481
682	1033	479
683	1034	478
684	1036	476
685	1037	474
686	1038	473
687	1039	471
688	1041	469
689	1043	468
690	1044	467
691	1045	465
692	1046	463
693	1048	462
694	1049	460
695	1051	459
696	1053	457
697	1055	456
698	1056	454
699	1057	453
700	1059	451
701	1060	450
702	1062	448
703	1063	447
704	1064	445
705	1066	443
706	1067	442
707	1068	440
708	1069	438
709	1070	437
710	1071	435
711	1072	433
712	1074	432
713	1075	430
714	1077	429
715	1078	427
716	1079	425
717	1080	424
718	1081	422
719	1082	421
720	1083	419
721	1085	417
722	1086	416
723	1087	414
724	1088	412
725	1089	411
726	1090	409
727	1091	407
728	1092	406
729	1093	404
730	1095	403
731	1096	401
732	1097	399
733	1100	398
734	1102	397
735	1104	396
736	1105	394
737	1106	392
738	1108	391
739	1109	389
740	1111	388
741	1112	386
742	1114	385
743	1115	383
744	1116	382
745	1118	380
746	1119	379
747	1120	377
748	1122	376
749	1123	374
750	1124	372
751	1126	371
752	1127	369
753	1128	368
754	1129	366
755	1130	365
756	1131	363
757	1133	361
758	1134	360
759	1136	358
760	1137	357
761	1138	355
762	1140	354
763	1141	352
764	1143	351
765	1144	349
766	1145	348
767	1147	346
768	1148	345
769	1149	343
770	1151	342
771	1152	340
772	1154	339
773	1155	337
774	1157	335
775	1158	334
776	1160	333
777	1161	331
778	1163	330
779	1164	328
780	1166	327
781	1168	325
782	1169	324
783	1170	322
784	1171	320
785	1172	319
786	1173	317
787	1175	316
788	1176	314
789	1178	313
790	1179	311
791	1180	310
792	1181	308
793	1183	307
794	1184	305
795	1185	303
796	1187	302
797	1188	300
798	1189	299
799	1190	297
800	1192	296
801	1194	294
802	1195	293
803	1197	291
804	1198	290
805	1199	288
806	1201	287
807	1202	285
808	1204	284
809	1205	282
810	1207	281
811	1208	279
812	1210	278
813	1211	276
814	1212	275
815	1213	273
816	1214	272
817	1215	270
818	1216	268
819	1218	267
820	1219	265
821	1220	264
822	1221	262
823	1223	261
824	1224	259
825	1225	258
826	1227	256
827	1228	255
828	1230	253
829	1231	252
830	1233	250
831	1235	249
832	1236	247
833	1238	246
834	1239	244
835	1241	243
836	1242	241
837	1243	240
838	1244	238
839	1245	237
840	1246	235
841	1247	234
842	1248	232
843	1249	231
844	1251	229
845	1252	227
846	1253	226
847	1254	224
848	1255	223
849	1256	221
850	1257	220
851	1258	218
852	1259	217
853	1260	215
854	1261	213
855	1262	212
856	1263	210
857	1264	209
858	1265	207
859	1266	206
860	1267	204
861	1268	203
862	1269	201
863	1270	200
864	1272	198
865	1273	197
866	1274	195
867	1275	193
868	1276	192
869	1277	190
870	1278	189
871	1279	187
872	1280	186
873	1281	184
874	1282	183
875	1283	181
876	1284	180
877	1285	178
878	1285	177
879	1287	175
880	1288	173
881	1288	172
882	1289	170
883	1290	169
884	1291	167
885	1292	166
886	1293	164
887	1294	163
888	1295	161
889	1296	160
890	1297	158
891	1298	157
892	1299	155
893	1300	154
894	1301	152
895	1302	151
896	1303	149
897	1304	148
898	1305	146
899	1306	145
900	1307	143
901	1308	142
902	1309	140
903	1310	139
904	1310	137
905	1311	136
906	1312	134
907	1313	133
908	1315	131
909	1316	130
910	1317	128
911	1318	127
912	1319	125
913	1319	124
914	1320	122
915	1321	121
916	1322	119
917	1323	118
918	1324	116
919	1325	115
920	1326	113
921	1327	112
922	1328	110
923	1329	109
924	1330	107
925	1331	106
926	1332	104
927	1333	103
928	1334	101
929	1335	100
930	1336	99
931	1337	97
932	1338	96
933	1338	94
934	1339	93
935	1340	91
936	1341	90
937	1342	88
938	1343	87
939	1344	85
940	1345	84
941	1346	82
942	1347	81
943	1349	80
944	1350	78
945	1351	77
946	1352	75
947	1353	74
948	1354	72
949	1355	71
950	1356	69
951	1356	68
952	1357	66
953	1358	65
954	1359	64
955	1360	62
956	1361	61
957	1362	59
958	1363	58
959	1364	56
960	1364	55
961	1365	53
962	1366	52
963	1367	51
964	1368	49
965	1369	48
966	1370	46
967	1370	45
968	1371	43
969	1372	42
970	1373	41
971	1374	39
972	1375	38
973	1376	36
974	1377	35
975	1378	33
976	1379	32
977	1380	31
978	1381	29
979	1382	28
980	1383	26
981	1383	25
982	1385	23
983	1386	22
984	1386	21
985	1387	19
986	1388	18
987	1389	16
988	1390	15
989	1392	14
990	1393	12
991	1393	11
992	1394	9
993	1395	8
994	1396	7
995	1397	5
996	1398	4
997	1399	2
998	1400	1
999	1401	0
