iter	Passed	Remaining
0	1	139
1	2	116
2	3	116
3	4	108
4	5	101
5	6	96
6	7	93
7	8	94
8	9	96
9	10	95
10	11	92
11	12	93
12	13	91
13	14	91
14	16	92
15	17	91
16	18	92
17	19	90
18	20	87
19	21	85
20	22	83
21	23	83
22	24	82
23	25	80
24	26	79
25	27	78
26	28	76
27	29	75
28	30	74
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	61
40	42	60
41	43	59
42	44	58
43	44	57
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	59	38
61	60	37
62	61	36
63	62	35
64	64	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	90	4
95	91	3
96	92	2
97	93	1
98	94	0
99	95	0
